codigo_mesa	id_eleccion	partido_id	votos	pct_votos_validos	pct_votos_emitidos
002316	10	80	1	0.0	0.73
002316	10	81	7	0.0	5.109
002316	10	82	0	0.0	0.0
002410	10	10	81	63.78	62.791
002410	10	8	46	36.22	35.659
002410	10	80	0	0.0	0.0
002410	10	81	2	0.0	1.55
002410	10	82	0	0.0	0.0
002456	10	10	90	40.724	37.975
002456	10	8	130	58.824	54.852
002456	10	80	1	0.0	0.422
002456	10	81	15	0.0	6.329
002456	10	82	1	0.0	0.422
002469	10	10	101	44.889	40.726
002469	10	8	124	55.111	50.0
002469	10	80	0	0.0	0.0
002469	10	81	23	0.0	9.274
002469	10	82	0	0.0	0.0
002583	10	10	71	49.65	35.323
002583	10	8	72	50.35	35.821
002583	10	80	1	0.0	0.498
002583	10	81	57	0.0	28.358
002583	10	82	0	0.0	0.0
002760	10	10	123	56.682	51.037
002760	10	8	94	43.318	39.004
002760	10	80	0	0.0	0.0
002760	10	81	24	0.0	9.959
002760	10	82	0	0.0	0.0
002770	10	10	90	41.284	37.657
002770	10	8	128	58.716	53.556
002770	10	80	2	0.0	0.837
002770	10	81	19	0.0	7.95
002770	10	82	0	0.0	0.0
002774	10	10	101	52.604	33.667
002774	10	8	91	47.396	30.333
002774	10	80	94	0.0	31.333
002774	10	81	14	0.0	4.667
002774	10	82	0	0.0	0.0
002834	10	10	91	43.333	40.807
002834	10	8	114	54.286	51.121
002834	10	80	1	0.0	0.448
002834	10	81	12	0.0	5.381
002834	10	82	5	0.0	2.242
002915	10	10	113	51.835	48.291
002915	10	8	105	48.165	44.872
002915	10	80	1	0.0	0.427
002915	10	81	15	0.0	6.41
002915	10	82	0	0.0	0.0
003153	10	10	101	51.269	44.69
003153	10	8	96	48.731	42.478
003153	10	80	2	0.0	0.885
003153	10	81	27	0.0	11.947
003153	10	82	0	0.0	0.0
003211	10	10	125	58.14	52.966
003211	10	8	89	41.395	37.712
003211	10	80	0	0.0	0.0
003211	10	81	21	0.0	8.898
003211	10	82	1	0.0	0.424
003240	10	10	132	61.111	56.41
003240	10	8	84	38.889	35.897
003240	10	80	3	0.0	1.282
003240	10	81	15	0.0	6.41
003240	10	82	0	0.0	0.0
003419	10	10	125	54.348	50.403
003419	10	8	104	45.217	41.935
003419	10	80	1	0.0	0.403
003419	10	81	17	0.0	6.855
003419	10	82	1	0.0	0.403
003423	10	10	123	52.79	49.398
003423	10	8	109	46.781	43.775
003423	10	80	1	0.0	0.402
003423	10	81	15	0.0	6.024
003423	10	82	1	0.0	0.402
003608	10	10	116	53.704	47.934
003608	10	8	100	46.296	41.322
003608	10	80	24	0.0	9.917
