codigo_mesa	id_eleccion	id_acta	archivo_id	orden	tipo	nombre	descripcion	output_path	bytes_written	sha256	status	error
000009	10	901010110	6a260fdabe06f2b5149e5495	1	1	C61003-e41bf7a8add0cc00e52ece728ee75620d30a92006f01fa945a1adf24ded62c87.pdf	ACTA DE ESCRUTINIO	actas\000009-1.pdf	1383251	e41bf7a8add0cc00e52ece728ee75620d30a92006f01fa945a1adf24ded62c87	downloaded	
000009	10	901010110	6a260fdbbe06f2b5149e5496	2	2	C61003-c2365f4f9f5541abec907b9d5e67a957ffff77e7484a3e2ad130152ede6f97b9.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000009-2.pdf	1416436	c2365f4f9f5541abec907b9d5e67a957ffff77e7484a3e2ad130152ede6f97b9	downloaded	
000010	10	1001010110	6a2608d659555377dba73954	1	1	C61003-41ad5f7ec5f15ed7e9f674a57c681aba10c345f70cda25b06de438cbf7e9650c.pdf	ACTA DE ESCRUTINIO	actas\000010-1.pdf	1386576	41ad5f7ec5f15ed7e9f674a57c681aba10c345f70cda25b06de438cbf7e9650c	downloaded	
000010	10	1001010110	6a2608d659555377dba73955	2	2	C61003-5315a34faaa6063c717d17e88997e76d56bbda28f4831231b8d4d21b43bc395a.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000010-2.pdf	1385208	5315a34faaa6063c717d17e88997e76d56bbda28f4831231b8d4d21b43bc395a	downloaded	
000011	10	1101010110	6a260fdbbe06f2b5149e5497	1	1	C61003-2b1a7466cf5930fca84dc94149c0a92c99f3b8d070db7c7c8ce84d8316a82989.pdf	ACTA DE ESCRUTINIO	actas\000011-1.pdf	1409036	2b1a7466cf5930fca84dc94149c0a92c99f3b8d070db7c7c8ce84d8316a82989	downloaded	
000011	10	1101010110	6a260fdcbe06f2b5149e5498	2	2	C61003-1f363686d3fbd463e0cbdad2591368445c79988a9560ddf001f8a6778df86852.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000011-2.pdf	1192347	1f363686d3fbd463e0cbdad2591368445c79988a9560ddf001f8a6778df86852	downloaded	
000013	10	1301010110	6a2601917394c3c44b0b9b7e	1	1	C61003-68654ee62b4b7d7fcbd67db5f5159eef40a2c4e2b9740f4b7cc4e15f120a0953.pdf	ACTA DE ESCRUTINIO	actas\000013-1.pdf	1358723	68654ee62b4b7d7fcbd67db5f5159eef40a2c4e2b9740f4b7cc4e15f120a0953	downloaded	
000013	10	1301010110	6a2601917394c3c44b0b9b7f	2	2	C61003-3974b35dfa698c460300a40612f807dbd6273ec39e59ddc2292f1e1b33edd4f2.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000013-2.pdf	1497423	3974b35dfa698c460300a40612f807dbd6273ec39e59ddc2292f1e1b33edd4f2	downloaded	
000012	10	1201010110	6a26054f7e6b24b074d0cb17	1	1	C61003-17ffd9bc702656d9dcbe7ca0e988b1a3a4ac53cf884e32bd9ef0d2d2627d8728.pdf	ACTA DE ESCRUTINIO	actas\000012-1.pdf	1112875	17ffd9bc702656d9dcbe7ca0e988b1a3a4ac53cf884e32bd9ef0d2d2627d8728	downloaded	
000012	10	1201010110	6a2605507e6b24b074d0cb18	2	2	C61003-3ee8739f0e3b2a16e6294c50e492a7f3684415a0334e19426cf683af52842bae.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000012-2.pdf	1163361	3ee8739f0e3b2a16e6294c50e492a7f3684415a0334e19426cf683af52842bae	downloaded	
000014	10	1401010110	6a2604d97e6b24b074d0caef	1	1	C61003-0765fee2e763e9b2776b58299a8f5f57d42d32d5f3c56518df527baea2872766.pdf	ACTA DE ESCRUTINIO	actas\000014-1.pdf	1402213	0765fee2e763e9b2776b58299a8f5f57d42d32d5f3c56518df527baea2872766	downloaded	
000014	10	1401010110	6a2604da7e6b24b074d0caf0	2	2	C61003-ad9c234682b8f0667d83d4498046dc0dc433e8795d55770c889b49b1ddff7cb0.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000014-2.pdf	1436335	ad9c234682b8f0667d83d4498046dc0dc433e8795d55770c889b49b1ddff7cb0	downloaded	
000016	10	1601010110	6a2604e26347ceb820043e87	1	1	C61003-4da96161a52bb9359bed5882640521c7b5247b8d7bd59535e319246393ba5d78.pdf	ACTA DE ESCRUTINIO	actas\000016-1.pdf	1401948	4da96161a52bb9359bed5882640521c7b5247b8d7bd59535e319246393ba5d78	downloaded	
000016	10	1601010110	6a2604e26347ceb820043e88	2	2	C61003-977b3bc1fff3b538f10e0a135a9d57374f2c00ccbe073c558b1a38dfe7f2fe56.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000016-2.pdf	1423406	977b3bc1fff3b538f10e0a135a9d57374f2c00ccbe073c558b1a38dfe7f2fe56	downloaded	
000015	10	1501010110	6a260b056347ceb820044149	1	1	C61003-9ec1845ba60d65a8c1d16d12810dd2c76e07da3283ffe1c6177559e9c8920b6c.pdf	ACTA DE ESCRUTINIO	actas\000015-1.pdf	1398833	9ec1845ba60d65a8c1d16d12810dd2c76e07da3283ffe1c6177559e9c8920b6c	downloaded	
000015	10	1501010110	6a260b066347ceb82004414a	2	2	C61003-7c60f432273c8b1d9c1376a6a19419aeefdf405f342a0752f21fb91e345174d0.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000015-2.pdf	1415020	7c60f432273c8b1d9c1376a6a19419aeefdf405f342a0752f21fb91e345174d0	downloaded	
000018	10	1801010110	6a2604e37e6b24b074d0cb0d	1	1	C61003-350b8a2be24cb3586791778282f7f1f9cfe172f42bbd71c8424d31220a0db08e.pdf	ACTA DE ESCRUTINIO	actas\000018-1.pdf	1406785	350b8a2be24cb3586791778282f7f1f9cfe172f42bbd71c8424d31220a0db08e	downloaded	
000018	10	1801010110	6a2604e47e6b24b074d0cb0e	2	2	C61003-eac5d6efd4ff1322e78c22c9f75a3273db76069d45cfe1879eef03d09a629dcc.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000018-2.pdf	1412418	eac5d6efd4ff1322e78c22c9f75a3273db76069d45cfe1879eef03d09a629dcc	downloaded	
000017	10	1701010110	6a2604e2be06f2b5149e4e9e	1	1	C61003-e5c0f93c5affa95c72c23433553b104096d88dbb7290de19b765d6940c41e0df.pdf	ACTA DE ESCRUTINIO	actas\000017-1.pdf	1399197	e5c0f93c5affa95c72c23433553b104096d88dbb7290de19b765d6940c41e0df	downloaded	
000017	10	1701010110	6a2604e2be06f2b5149e4e9f	2	2	C61003-86127fa7d5acc98b241c43ea0127749426bbbf8f5bca26b653ead7e88fd7f40d.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000017-2.pdf	1426799	86127fa7d5acc98b241c43ea0127749426bbbf8f5bca26b653ead7e88fd7f40d	downloaded	
000019	10	1901010110	6a25ff387e6b24b074d0ca07	1	1	C61003-c3e12f893fd12fe5ef32228cb91f2a483d0da53627df63cc34f50494a963af95.pdf	ACTA DE ESCRUTINIO	actas\000019-1.pdf	1135253	c3e12f893fd12fe5ef32228cb91f2a483d0da53627df63cc34f50494a963af95	downloaded	
000019	10	1901010110	6a25ff387e6b24b074d0ca08	2	2	C61003-e0c103a328ca59497e5ea8be76098c66eb3fd4a2b993320b631a52432d9e5f1b.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000019-2.pdf	1168013	e0c103a328ca59497e5ea8be76098c66eb3fd4a2b993320b631a52432d9e5f1b	downloaded	
000020	10	2001010110	6a25ff39be06f2b5149e4d9e	1	1	C61003-88b8f2ee2cc665589c14cafe6aa36e29a96034467b97c8f82378db653549e096.pdf	ACTA DE ESCRUTINIO	actas\000020-1.pdf	1115628	88b8f2ee2cc665589c14cafe6aa36e29a96034467b97c8f82378db653549e096	downloaded	
000020	10	2001010110	6a25ff39be06f2b5149e4d9f	2	2	C61003-a84701132b3747265f0362135f587d5c65327bc9862e71b4fb38ff5e00f841c5.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000020-2.pdf	1146873	a84701132b3747265f0362135f587d5c65327bc9862e71b4fb38ff5e00f841c5	downloaded	
000021	10	2101010110	6a260b04a3ce83b352f62695	1	1	C61003-e5bfd28192f7d48995478eb8c88a623b45f9f1dbd0407011d3ff049b445722d5.pdf	ACTA DE ESCRUTINIO	actas\000021-1.pdf	1411745	e5bfd28192f7d48995478eb8c88a623b45f9f1dbd0407011d3ff049b445722d5	downloaded	
000021	10	2101010110	6a260b04a3ce83b352f62696	2	2	C61003-6c005e018b80f2fb15c8b372418b1f0b05c24ceb8abfdc36d76d84967aec80e7.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000021-2.pdf	1440831	6c005e018b80f2fb15c8b372418b1f0b05c24ceb8abfdc36d76d84967aec80e7	downloaded	
000023	10	2301010110	6a260b027394c3c44b0b9f0c	1	1	C61003-337629449552d61064173fea07b998d93a3298fbdb8867143414ffea8bb16915.pdf	ACTA DE ESCRUTINIO	actas\000023-1.pdf	1409200	337629449552d61064173fea07b998d93a3298fbdb8867143414ffea8bb16915	downloaded	
000023	10	2301010110	6a260b037394c3c44b0b9f0d	2	2	C61003-920d490c75bc970e692252212506c4532b75a95c1d18327886764b0f45d42ff7.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000023-2.pdf	1416872	920d490c75bc970e692252212506c4532b75a95c1d18327886764b0f45d42ff7	downloaded	
000024	10	2401010110	6a260af8dd637b970a0612d2	1	1	C61003-0819d0ed0fa5eb8ab0d16a306e37686c3c3ba1086f88505801dcb0ab541e936a.pdf	ACTA DE ESCRUTINIO	actas\000024-1.pdf	1125486	0819d0ed0fa5eb8ab0d16a306e37686c3c3ba1086f88505801dcb0ab541e936a	downloaded	
000024	10	2401010110	6a260af8dd637b970a0612d3	2	2	C61003-d604c62e6d47c3d2cbd3f8fe45a6736ca91264872aacfc2b105444c2435cdf72.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000024-2.pdf	1167640	d604c62e6d47c3d2cbd3f8fe45a6736ca91264872aacfc2b105444c2435cdf72	downloaded	
000022	10	2201010110	6a260af81eb55a30d95f7c2c	1	1	C61003-f4090fa18620f31852fe985c0ba4a709ede1da3d7068eefa972b2f1860372a65.pdf	ACTA DE ESCRUTINIO	actas\000022-1.pdf	1397446	f4090fa18620f31852fe985c0ba4a709ede1da3d7068eefa972b2f1860372a65	downloaded	
000022	10	2201010110	6a260af81eb55a30d95f7c2d	2	2	C61003-969d0acee488bfb5f8540a5d8745f2a3eedbbdb956d7812a8a35390a14412754.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000022-2.pdf	1418196	969d0acee488bfb5f8540a5d8745f2a3eedbbdb956d7812a8a35390a14412754	downloaded	
000025	10	2501010110	6a260ddd0918f701d402ab3d	1	1	C61003-58fe2908baf58191aa7728ac9f690a0613bcd0739247e358e46a734092ffe22e.pdf	ACTA DE ESCRUTINIO	actas\000025-1.pdf	1129535	58fe2908baf58191aa7728ac9f690a0613bcd0739247e358e46a734092ffe22e	downloaded	
000025	10	2501010110	6a260dde0918f701d402ab3e	2	2	C61003-765c2dec100e5b6f42e354daeec592036b0c0c563e230b6f20ccd7102990ed1e.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000025-2.pdf	1142746	765c2dec100e5b6f42e354daeec592036b0c0c563e230b6f20ccd7102990ed1e	downloaded	
000026	10	2601010110	6a260dc8a3ce83b352f62809	1	1	C61003-33d529007692e4aead9192286877b9bc968ce5b999564e6d91c405e1a5117791.pdf	ACTA DE ESCRUTINIO	actas\000026-1.pdf	1406697	33d529007692e4aead9192286877b9bc968ce5b999564e6d91c405e1a5117791	downloaded	
000026	10	2601010110	6a260dc8a3ce83b352f6280a	2	2	C61003-5d55591542c365e94af346e7e376b07e1fdfa0e4be8f99f82ee06e2d84875d55.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000026-2.pdf	1125369	5d55591542c365e94af346e7e376b07e1fdfa0e4be8f99f82ee06e2d84875d55	downloaded	
000028	10	2801010110	6a2606447394c3c44b0b9cd2	1	1	C61003-c4504971324729163714426a9163a69c16d57a67cabae9ff644490231d3903e4.pdf	ACTA DE ESCRUTINIO	actas\000028-1.pdf	1399504	c4504971324729163714426a9163a69c16d57a67cabae9ff644490231d3903e4	downloaded	
000028	10	2801010110	6a2606457394c3c44b0b9cd3	2	2	C61003-65388c7df42b27614d444aa67bcc5321cce57c5bf3c76bc8423ca90c992a1dea.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000028-2.pdf	1411708	65388c7df42b27614d444aa67bcc5321cce57c5bf3c76bc8423ca90c992a1dea	downloaded	
000027	10	2701010110	6a260dc50918f701d402aafd	1	1	C61003-4e6f4ce429196b6d351d2ff20182fa101e1f771fa518ce0420258f8596133d64.pdf	ACTA DE ESCRUTINIO	actas\000027-1.pdf	1392484	4e6f4ce429196b6d351d2ff20182fa101e1f771fa518ce0420258f8596133d64	downloaded	
000027	10	2701010110	6a260dc50918f701d402aafe	2	2	C61003-8d4cdb1dcb5cd5cdc592f4c9f8c8d3253442aab3e2158311487018d1d684c352.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000027-2.pdf	1349717	8d4cdb1dcb5cd5cdc592f4c9f8c8d3253442aab3e2158311487018d1d684c352	downloaded	
000029	10	2901010110	6a2606be7394c3c44b0b9d12	1	1	C61003-02d3cca96b7ccf82105f23f5107436e36de7d457c605ea32c2bf4213f13ac183.pdf	ACTA DE ESCRUTINIO	actas\000029-1.pdf	1411522	02d3cca96b7ccf82105f23f5107436e36de7d457c605ea32c2bf4213f13ac183	downloaded	
000029	10	2901010110	6a2606be7394c3c44b0b9d13	2	2	C61003-da02dae9628a430c23e98e06926426f23a38e0af5316cc54e63fe8633aa7fac2.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000029-2.pdf	1437068	da02dae9628a430c23e98e06926426f23a38e0af5316cc54e63fe8633aa7fac2	downloaded	
000030	10	3001010110	6a2606467394c3c44b0b9cd8	1	1	C61003-56aedc3bc4c9ef9b3aa6a4792eba4a0d470bc12840f115e7fec5ea7eaf58057e.pdf	ACTA DE ESCRUTINIO	actas\000030-1.pdf	1395089	56aedc3bc4c9ef9b3aa6a4792eba4a0d470bc12840f115e7fec5ea7eaf58057e	downloaded	
000030	10	3001010110	6a2606477394c3c44b0b9cd9	2	2	C61003-afd445a50d0a53d907d7e21276413aaf2e36b31a5d491b0176f177ccf9c196a3.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000030-2.pdf	1418676	afd445a50d0a53d907d7e21276413aaf2e36b31a5d491b0176f177ccf9c196a3	downloaded	
000031	10	3101010110	6a260648dd637b970a0610be	1	1	C61003-6bebcbc757cf0ca1691ee00056c9e7d91ae595d843e7be352d9581ab104e9d58.pdf	ACTA DE ESCRUTINIO	actas\000031-1.pdf	1128302	6bebcbc757cf0ca1691ee00056c9e7d91ae595d843e7be352d9581ab104e9d58	downloaded	
000031	10	3101010110	6a260648dd637b970a0610bf	2	2	C61003-81cde3e1bd3f875ac1114cff51fdebb74899b2bface488b43facf306fb909842.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000031-2.pdf	1182220	81cde3e1bd3f875ac1114cff51fdebb74899b2bface488b43facf306fb909842	downloaded	
000032	10	3201010110	6a260648dd637b970a0610c0	1	1	C61003-3b0b1bb050911a27b70089510ae6c5045682b82fbc80efe01a2f1bd988edb1df.pdf	ACTA DE ESCRUTINIO	actas\000032-1.pdf	1114946	3b0b1bb050911a27b70089510ae6c5045682b82fbc80efe01a2f1bd988edb1df	downloaded	
000032	10	3201010110	6a260649dd637b970a0610c1	2	2	C61003-802f256e1d76284d1d26d73aa5bf91f4341103bd122b238a01597edc97a3a39b.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000032-2.pdf	1176705	802f256e1d76284d1d26d73aa5bf91f4341103bd122b238a01597edc97a3a39b	downloaded	
