codigo_local_votacion	nombre_local_votacion	ubigeo	lat	lon
0001	IE 18288 ISABEL LYNCH DE RUBIO	010101		
0002	IE VIRGEN ASUNTA	010101		
0003	IE 18022 MARIA AUXILIADORA	010101		
7844	IE SEMINARIO JESUS MARIA	010101		
7846	IESP TORIBIO RODRIGUEZ DE MENDOZA	010101		
7848	IE MIGUEL RUBIO	010101		
30860	IE EMBLEMATICA SAN JUAN DE LA LIBERTAD	010101		
30862	IE 18006	010101		
0004	IE 18010	010102		
0005	IE 18012	010103		
0006	IE 18017	010104		
0007	IE 18023	010105		
0008	IE OCTAVIO ORTIZ ARRIETA	010106		
7859	IEP 18323	010106		
0009	IE 18037 JOSE ANTONIO ENCINA FRANCO	010107		
7236	IE 18040	010108		
0011	IE 18041 PURIFICACION CULQUI PUIQUIN	010109		
7868	IE JUAN VELASCO ALVARADO	010109		
0013	IE SAN AGUSTIN	010110		
7875	IE 18050	010110		
0014	IE 18052 PADRE BLAS VALERA PEREZ	010111		
0015	IE CESAR VALLEJO	010112		
0016	IE SEÑOR DE LOS MILAGROS	010113		
0017	IE 18061	010114		
53138	IE JOSE OLAYA	010114		
0018	IE 18065	010115		
53139	COMUNIDAD CAMPESINA DE OLLEROS	010116		
0020	IE 18068	010117		
53140	IE 18066	010116		
0021	IE SAN FRANCISCO	010118		
0022	IE 18056	010119		
0023	IE 18074	010120		
31836	IE SAN MIGUEL	010120		
0024	IE 18077	010121		
0028	IE 16275	010201		
32061	IE JOSE CARLOS MARIATEGUI	010201		
0032	IE MIGUEL MONETZA TAFUR	010202		
0033	IE 16201	010202		
52482	IE 16200	010202		
0034	IE 16239	010203		
18094	IE SAGRADO CORAZON DE JESUS	010203		
0035	IE 16273	010204		
7811	IE DIVINO MAESTRO	010204		
0037	IEP 16192	010205		
7253	IE AGROPECUARIO TORIBIO RODRIGUEZ DE MENDOZA	010205		
7803	IE TECNICO INDUSTRIAL BAGUA	010205		
7804	IEP 16193	010205		
7805	IEP 16194	010205		
0047	IEP 16318	010206		
0048	IE TECNICO INDUSTRIAL TUPAC AMARU	010206		
0050	IESTP TSAMAJAIN	010206		
53128	IE 16354 SHUSHUNG	010206		
53129	IE JUAN VELASCO ALVARADO	010206		
53130	IE SHUSHUNGA	010206		
0051	IE 18079	010301		
0052	IE 18259 RAFAEL JULIAN LOPEZ	010302		
0053	IE 18083	010303		
0054	IE 18088	010304		
55451	IE 18090	010305		
7819	IE 18092	010306		
40003	IE 18095	010307		
0058	IE 18096	010308		
0059	IE 18104 SANTO TOMAS	010309		
0060	IE 18099	010310		
5968	IE JOSE DE SAN MARTIN	010311		
32308	IE 18340 ALBERT EINSTEN - SECUNDARIA	010311		
50439	IE 18106	010311		
16883	IE 18322 ABRAHAM LOPEZ LUCERO	010312		
7915	IEE BLAS VALERA	010401		
0065	IE BRAULIO CAMPORREDONDO	010402		
7901	IE 18115	010402		
7902	IE 18116	010402		
0066	IE 18117	010403		
53145	IE VIRGEN DEL ROSARIO	010403		
0067	IE CRISTOBAL BENQUE	010404		
5988	IE MANUEL GONZALES PRADA	010405		
0069	IE 18130	010406		
0070	IE 18138	010407		
0071	IE 18134 MONSEÑOR ORTIZ ARRIETA	010408		
18840	IE RAMON CASTILLA	010409		
0074	IE HORACIO ZEVALLOS GAMES	010411		
0073	IE 18142	010410		
0075	IE SAN SIMON	010412		
18841	IE 18151	010412		
6583	IE 18153	010413		
7932	IE SAN JUAN	010413		
40004	IEI 216	010414		
40005	IE 18171	010414		
0081	IE 18156 EPIFANIO URQUIA VENTURA	010415		
0082	IE 212	010416		
0083	IE 18184	010417		
0084	IE 18139	010418		
0085	IE 18200	010419		
32760	IE 18182 MANUEL SAAVEDRA LUJAN	010420		
0088	IE JORGE BASADRE	010421		
0089	IE 18205 JOSE ROBERTO ARCE TUESTA	010422		
0090	IE CESAR VALLEJO	010423		
6007	IEST RODRIGUEZ DE MENDOZA	010501		
7952	IEI 301	010501		
7954	IE 18207	010501		
0092	IE SAN MARCOS	010502		
0093	IE 18215	010503		
7945	IE SAN MIGUEL	010504		
0095	IE SAN FRANCISCO	010505		
18853	IE 18236	010506		
0097	IE 18244	010507		
6004	IE SAGRADO CORAZON DE JESUS	010508		
31470	IE 18240	010508		
0102	IE ANTONIO RAIMONDY	010509		
7948	IE 18246	010509		
0103	IE 18249 SANTA ROSA	010510		
0104	IE 18251 TOTORA	010511		
0105	IE 18305	010512		
0113	IE 16296 PRIMARIO	010601		
0115	IES NIEVA	010601		
18775	IEI 206	010601		
40008	IST FE Y ALEGRIA	010601		
53142	IE 16297 JUAN VELASCO ALVARADO	010601		
54856	IESM CIRO ALEGRIA	010601		
0120	IEP 16736 PUERTO GALILEA	010602		
55454	IE 16334	010602		
53143	IEI 217 PUERTO GALILEA	010602		
0128	IE 16342	010603		
18743	IE MOISES MORENO ROMERO	010603		
0131	IE 16211	010701		
0135	IE FE Y ALEGRIA 38	010701		
7988	IE ALONSO DE ALVARADO	010701		
7990	IE 16228 TECNICO INDUSTRIAL SAN LUIS	010701		
7993	IE SANTIAGO APOSTOL	010701		
7995	IESTP CIBERNET UTCUBAMBA	010701		
7998	IEPP JOSE SANTOS CHOCANO	010701		
18880	IE ALEJANDRO CUSSIANOVICH VILLARAN	010701		
32349	IE 16683 ANTONIO JOSMEL PASTOR MUÑOZ	010701		
40009	IE 16210 ALEJANDRO SANCHEZ ARTEAGA	010701		
0137	IE ERNESTO VILLANUEVA MUÑOZ	010702		
0139	IE 16229	010702		
8028	IEI 213	010702		
40012	IE 16365	010702		
50408	COLISEO CERRADO MUNICIPAL CAJARURO	010702		
50656	IE JUAN VELASCO ALVARADO - CCPP NARANJOS ALTO	010702		
53440	IE 16783	010702		
53442	IE 17036	010702		
0140	IE CESAR ABRAHAM VALLEJO MENDOZA	010703		
0141	IE 16245	010703		
0142	IE 16217	010704		
18895	IE ALBERTO ESCOBAR	010704		
54730	IE 17786 FERNANDO BELAUNDE TERRY	010704		
0143	IE PRIMARIA 16255	010705		
0144	IE RICARDO PALMA	010705		
54731	IE 17047 JUAN BLAS VALERA	010705		
18904	IE 16263 VIRGEN DEL CARMEN	010706		
51712	IE JORGE BASADRE	010706		
51713	IE 16272 JOSE GALVEZ BARRENECHEA	010706		
0147	IE ENRIQUE LOPEZ ALBUJAR	010707		
50409	IE 16293 EL PALTO	010707		
0148	IE FE Y ALEGRIA 19	020101		
0150	IE PEDRO PABLO ATUSPARIA	020101		
0151	IE 86686 SEÑOR DE LA SOLEDAD	020101		
8150	IE 86019 COLEGIO LA LIBERTAD	020101		
8145	IE JARDIN DE LA INFANCIA 122	020101		
16889	IEI 286 VILLON ALTO	020101		
40014	ESFAP ANCASH	020101		
40957	FACULTAD DE DERECHO Y CIENCIAS POLÍTICAS - UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO	020101		
0153	IE JORGE BASADRE GROHMANN	020102		
0154	IE SABIO ANTONIO RAIMONDI	020102		
0155	IE GRAN UNIDAD ESCOLAR MARISCAL TORIBIO DE LUZURIAGA	020102		
7697	UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO	020102		
8170	IESTP ELEAZAR GUZMAN BARRON	020102		
16893	IE NUESTRA SEÑORA DE LA ASUNCION	020102		
19115	IE 86040 SUIZA PERUANA	020102		
19123	IE 87003-1 JESUS NAZARENO	020102		
51251	IE SIMON ANTONIO BOLIVAR PALACIOS	020102		
0158	IE 86061	020103		
0159	IE 86063	020104		
0160	IE 86054 JAVIER ROMERO MAGUIÑA	020105		
0162	IE 86043 VIRGEN DE LAS MERCEDES	020106		
0163	IE 86059 VIRGEN DE NATIVIDAD	020107		
0164	IE 86045 CESAR VALLEJO	020108		
8175	IE 86047 JOSE CARLOS MARIATEGUI	020108		
0165	IE 86051	020109		
0166	IE 86066 MARTIRES MIGUEL Y ZBIGNIEW	020110		
8184	IE SAN FRANCISCO DE ASIS	020110		
0168	IE 86064 PEDRO PABLO PALACIOS - PRIMARIA	020111		
19139	IE 86064 PEDRO PABLO PALACIOS - SECUNDARIA	020111		
0172	IE 86048 CESAR VALLEJO MENDOZA	020112		
8186	IE 86049 JOSE CARLOS MARIATEGUI	020112		
0173	IE 86136 NUESTRA SEÑORA DE LA MEDALLA MILAGROSA	020201		
0174	IE 86153 CORIS	020203		
54848	IE SAN PEDRO	020203		
0175	IE 86161 HUACLLAN	020205		
18927	IE VICENTE GUERRERO PALACIOS	020206		
54849	IE 86151 SUCCHA	020208		
0180	IE 86211 CORONEL BOLOGNESI	020301		
0181	IE 86243 VICTOR ANDRES BELAUNDE LLACLLA	020302		
0182	IE 86216 SAN MIGUEL	020304		
0183	IE 86221 SAN AGUSTIN	020305		
0185	IE 86230 INMACULADA CONCEPCION	020310		
0186	IE 86223 SANTA MARIA	020311		
0188	IE 86234 SAN FRANCISCO	020313		
0189	IE 86238 TUPAC AMARU	020315		
0191	IE 86242 AGUSTIN DEXTRE CORDOBA	020317		
0192	IE 86240 JOAQUIN COTRINA VALVERDE	020320		
0193	IE 86244 LUIS PARDO NOVOA	020321		
0194	IE 86247 CANIS	020322		
0195	IE 20850 MARISCAL ANDRES AVELINO CACERES	020323		
18953	IEI 357	020323		
0196	IE 86235 SAN LORENZO DE GORGORILLO	020324		
8099	IE 32226 RAUL CORDOVA ALVARADO	020325		
0198	IE 86269 MARIA AUXILIADORA	020401		
0199	IE NUESTRA SEÑORA DE LAS MERCEDES	020401		
0200	IE 86280 RICARDO PALMA	020402		
0201	IE 86289 VIRGEN DE NATIVIDAD	020403		
0202	IE MARIO TORRES MEZARINA	020404		
53176	IEI 236	020404		
40017	IE 86287 PEDRO COCHACHIN	020405		
0204	IE 86276 ANTONIO LOLI LAREDO	020406		
17547	IE JOSE MARIA ARGUEDAS	020406		
0206	IE 86284 APOSTOL SANTIAGO	020407		
0207	IE 86290 SAGRADO CORAZON DE JESUS	020408		
0209	IE 86291 SAN JUAN BAUTISTA	020409		
0210	IE 86285 SEÑOR DE LOS MILAGROS	020410		
18995	IEI 245 DIVINO NIÑO JESUS	020410		
18998	IE JOSE CARLOS MARIÁTEGUI	020410		
0211	IE SANTIAGO ANTUNEZ DE MAYOLO	020411		
19000	IE 86282 FRANCISCO ALEGRE SERRANO	020411		
8131	IE 88101 CESAR ABRAHAM VALLEJO MENDOZA	020501		
8135	IE MARISCAL LUZURIAGA	020501		
50772	IE 88102 REPUBLICA DE CHILE	020501		
50774	IE 89017 MARISCAL ANDRES AVELINO CACERES	020501		
53242	IE 88100 INMACULADA CONCEPCION	020501		
0216	IE 88110 NUESTRA SEÑORA DE FATIMA	020502		
0217	IE 88105 JUAN NOEL LASTRA	020503		
0219	IE 89015	020505		
8138	IE AGROPECUARIO YAUTAN	020505		
0220	IE 88127 SAN PEDRO	020601		
0221	IE SAN FRANCISCO	020602		
0222	IE ERNESTO SANCHEZ FAJARDO	020603		
0223	IE 88130 JORGE BASADRE GROHMANN	020604		
0225	IE 88132 SANTIAGO ANTUNEZ DE MAYOLO	020605		
0226	IE 88134 PEDRO PABLO ATUSPARIA	020606		
0227	IE 88136 SAN PABLO	020607		
8245	IE 127 MARIA CANDELARIA DEL VILLAR	020701		
8246	IE 409 MARIA AUXILIADORA	020701		
8250	IESTP DANIEL VILLAR	020701		
8251	IE DOS DE MAYO SECUNDARIA	020701		
19246	IE 260 NUESTRA SEÑORA DE LAS MERCEDES	020701		
40021	IE DOS DE MAYO PRIMARIA	020701		
40022	IE TECNICO INDUSTRIAL NIVEL SECUNDARIO	020702		
0232	IE 86499 LUIS TORRES SALAZAR	020703		
0233	IE 86484 EMILIANO HARO COLLAS	020704		
0234	IE 86492 JOSE STRAUSSBERGER	020705		
0235	IE 86502 SAN SANTIAGO	020706		
0239	IE 86495 SAN JUAN BAUTISTA	020707		
0240	IE 86506 AMADEO GADEA LANDAVERY	020708		
0241	IE 86501 ANDRES AVELINO CACERES	020709		
0243	IE 86486 VICTOR FLORES CORTEZ	020710		
0244	IE MANUEL GONZALES PRADA	020801		
0245	IE 86323 VIRGEN DE FATIMA	020801		
0246	IE MARIANO MELGAR VALDIVIESO	020802		
19155	IE 86394	020802		
40025	IE 86335	020802		
0247	IE 86349 REPUBLICA DE HONDURAS	020803		
40026	IE CARLOS ALBERTO IZAGUIRRE	020803		
54812	IE 86350	020803		
8197	IE SAN JERONIMO	020804		
0249	IE 86354 SARITA COLONIA	020805		
0250	IE FABIAN ORTEGA OLASCOAGA	020806		
8199	IE 86359	020806		
0251	IE 86360 JOSE GABRIEL CONDORCANQUI NOGUERA	020807		
19184	IE CESAR VALLEJO MENDOZA	020807		
0252	IE 86363 JUAN N GAMBINI BEZADA	020808		
5684	IE 86365 PEDRO PAULET MOSTAJO	020809		
0254	IE HORACIO ZEBALLOS GAMEZ	020810		
8213	IE 86367 JOSE CARLOS MARIATEGUI LA CHIRA	020810		
8218	IE 86371 JUVENAL SOTO CAUSSO	020811		
0256	IE 86372 JAVIER CHERO BETETA	020812		
0257	IE PACHACUTEC	020813		
0258	IESTP SAN MARCOS	020813		
8220	IE 86380	020813		
52118	IEI 231	020813		
54736	IE 86459	020813		
54737	IE REPUBLICA DE CANADA	020813		
0260	IE ELEAZAR GUZMAN BARRON	020814		
40027	IE 86346	020814		
0261	IE GORGONIO HUAMAN OSORIO	020815		
8237	IE 86387 SAN MARTIN DE PORRAS	020815		
0262	IE ELEAZAR GUZMAN BARRON	020816		
8188	IE 86388	020816		
0263	IE 84025 CESAR EGUZQUIZA DURAND	020901		
40028	IE SAN ANTONIO DE PADUA	020902		
0265	IE 84121 VIRGEN DE GUADALUPE	020903		
0266	IE 84118 SANTA CRUZ	020904		
0267	IE 84123 CORONEL FELIX MARTINIANO ROCA LOPEZ	020905		
0268	IE ANDRES AVELINO CACERES	020906		
55418	IE 84126 FRANCISCO VIA MELGAREJO	020906		
7501	IE 84128 VIRGEN DEL ROSARIO	020907		
0271	IE ELEODORO VEGA OCAÑA	020908		
0272	IE 88154	021001		
0273	IE 88160	021002		
0276	IE CONCHUCOS	021003		
8277	IE 89017 ATILIO ORE LARA	021003		
6699	IE 88163	021004		
0279	IE 88159 HECTOR HEREDIA ROSALES	021005		
0280	IE 88161 SANTIAGO ANTUNEZ DE MAYOLO	021006		
0281	IE 88152 SAN MARCOS	021007		
40029	IE 88155 SAN JUAN BAUTISTA	021008		
0285	IE 88358	021009		
53243	IE 88156 SAN AGUSTIN	021009		
0286	IE 88162	021010		
6597	IE 88153	021011		
0290	IE 84001 ROSENDA SANCHEZ	021101		
8297	IE VIRGEN DEL SOCORRO	021101		
0291	IE 84014 JULIO WILFREDO VIDAL VIDAL	021102		
40032	IE EFRAIN ROCA GAMBINI	021102		
0292	IE 84019 ALFONSO PONTE GONZALES	021103		
51933	IE LUIS TARAZONA NEGREIROS	021103		
0296	IE HORACIO GONZALES ESCUDERO	021104		
0298	IE 86560 JAVIER HERAUD PEREZ	021201		
8301	IE 86559 LIBERTADOR SAN MARTIN	021201		
0299	IE 86574 SAN PABLO	021202		
0300	IE 86573 SAN GREGORIO	021203		
0302	IE 86571 SAN LORENZO DE MARCA	021204		
0303	IE 86575 VIRGEN DE FATIMA	021205		
0305	IE 86566 JULIO C TELLO	021206		
0306	IE 86578 VIRGEN DEL ROSARIO	021207		
6450	IE 86568 NUESTRA SEÑORA DEL PILAR	021208		
0310	IE 86579 SAN PEDRO DE LLACLLIN	021209		
0311	IE CESAR VALLEJO MENDOZA	021210		
55516	INSTITUTO DE EDUCACION SUPERIOR PRIVADO AMERICA	021301		
0318	IE 89007	021301		
0319	IE 89011 ELIAS AGUIRRE ROMERO	021301		
0320	IE 302 RUSO	021301		
0321	IE ERASMO ROCA	021301		
0322	IE FE Y ALEGRIA N 16	021301		
0323	IE 89002 GLORIOSA 329	021301		
0325	IE 88009 ENRIQUE MEIGGS	021301		
0326	IE 88013 ELEAZAR GUZMAN BARRON	021301		
0328	IE 88031 REPUBLICA PERUANA	021301		
0314	IE 88005 CORAZÓN DE JESÚS	021301		
0332	IE SAN PEDRO	021301		
0333	IE SANTA MARIA REINA	021301		
8309	IE 1546	021301		
8311	IE 1549	021301		
8315	IE 1578	021301		
8320	IE 313	021301		
8321	IE 316 NIÑO JESUS	021301		
8323	IE 320	021301		
8324	IE 323	021301		
8326	IE 88003 LAS AMERICAS	021301		
8327	IE 88004 MUNDO NUEVO	021301		
8328	IE 88008	021301		
8330	IE 88012 SAN MIGUEL	021301		
8331	IE 88015 EDITH WEED DAVIS	021301		
8332	IE 88016 JOSE GALVEZ EGUSQUIZA	021301		
8333	IE 88018 PAULO FREIRE	021301		
8335	IE 88020 VIRGEN DEL CARMEN	021301		
8336	IE 88026 JULIO CESAR TELLO ROJAS	021301		
8338	IE 88041 SIMON BOLIVAR	021301		
8340	IE 88066 RENE SALAZAR MAGUIÑA	021301		
8342	IE 88183	021301		
8343	IE 88217	021301		
8344	IE 88223	021301		
8345	IE 88226 DANIEL ALCIDES CARRION	021301		
8347	IE 88239 LEONCIO PRADO	021301		
8349	IE 88357 TERESA GONZALES DE FANNING	021301		
8351	IE 89009 8 DE OCTUBRE	021301		
8350	IE 88376 JOSE SANTOS CHOCANO	021301		
8352	IE 89013	021301		
8353	IE 88036 MARIANO MELGAR	021301		
8354	IE LA LIBERTAD	021301		
8355	IE MARIA GORETTI	021301		
8356	IE MICAELA BASTIDAS	021301		
19480	CEBE 01	021301		
19484	IE 1542 CAPULLITOS DE AMOR	021301		
19487	IE 88010 REYNA DE LA PAZ	021301		
19499	CETPRO CHIMBOTE	021301		
19500	IE VICTOR ANDRES BELAUNDE	021301		
31497	IEP LOS NIÑOS DEL ARCO IRIS	021301		
33156	IEP PABLO NERUDA	021301		
33159	IEP CORPUS CHRISTI	021301		
33160	IEP DIVINO NIÑO DEL MILAGRO	021301		
40037	CEBE FE Y YALEGRIA N 42	021301		
40039	IE 88319 SANTA ROSA PATRONA DE AMERICA	021301		
40040	IE 89005 PEDRO PAULET MOSTAJO	021301		
40042	IEP SAN JUAN BAUTISTA	021301		
40986	IE 1545 MARIA MONTESSORI DE ANTICONA	021301		
50959	IEP BERESHIT	021301		
51143	CEBA PREVOCACIONAL	021301		
51316	IE 88011 INCA GARCILASO DE LA VEGA	021301		
51415	IE 88019 SAN MARTIN DE PORRES	021301		
51443	IE 319 ESTRELLITAS DEL SABER	021301		
51457	IE 88331	021301		
51641	IE MUNDO MEJOR	021301		
52989	IE 89008 ANDRES AVELINO CACERES	021301		
53245	IE 88034 PEDRO RUIZ GALLO	021301		
53246	IE 88014 JOSE OLAYA	021301		
53764	IE 88037 ANTENOR SANCHEZ	021301		
54745	IE 89001	021301		
54764	IEP LA SONRISA DE JESUS	021301		
0335	IE 88050	021302		
54744	IE 88098	021302		
0337	IE 88054 SANTO TORIBIO	021303		
0340	IE SANTO DOMINGO	021304		
7536	IE 1569	021304		
51145	IE 88082	021304		
0341	IE MARCOS EVARISTO VILLACRE	021305		
8363	IE 1568	021305		
8371	IESTP VIRGEN DE GUADALUPE	021305		
0343	IE RAMON CASTILLA	021306		
0352	IE 88061 JOSE ABELARDO QUIÑONES	021309		
0353	IE 88298 LUIS ALBERTO SANCHEZ	021309		
0355	IE 88389 JUAN VALER SANDOVAL	021309		
0356	IE 88047 AUGUSTO SALAZAR BONDY	021309		
0357	IE REPUBLICA FEDERAL SOCIALISTA DE YUGOSLAVIA	021309		
0360	IESTP CARLOS SALAZAR ROMERO	021309		
8400	IE 88058	021306		
0344	IE 88320 SAN BARTOLO	021307		
0345	IE 88039 JAVIER HERAUD	021307		
0346	IE SANTIAGO ANTUNEZ DE MAYOLO	021307		
8407	IE 88245 CARLOS ARAMBURU ELEJALDE	021307		
55517	IEP AMERICA SCHOOL	021307		
50783	IE 88237	021307		
0348	IE 88044	021308		
8358	IE 89506 EDUARDO FERRICK RING	021308		
50779	IE 88025 RAMÓN CASTILLA	021308		
0350	IE 88017 CESAR VALLEJO MENDOZA	021309		
0351	IE 88021 ALFONSO UGARTE	021309		
40054	IEP BUENA ESPERANZA	021309		
41059	IE 88042	021309		
50909	IEP EL GRAN MAESTRO	021309		
50961	IE 88404 LAS DELICIAS	021309		
51192	IE 88413	021309		
51193	IE 88416	021309		
52990	IEP INNOVA SCHOOLS	021309		
8417	IE CAPITAN MARCELINO VALVERDE SOLORZANO	021401		
0362	IE ALFONSO UGARTE	021402		
55511	IE MOISES ZEBALLOS	021403		
0364	IE 84180 GASTON VIDAL PORTURAS	021404		
0365	IE VIRGEN DE LA NATIVIDAD	021405		
0366	IE SAN MARCOS	021406		
0367	IE 84172	021407		
0368	IE 84176 VIRGEN DEL ROSARIO	021408		
0370	IE 84185 SANTA CRUZ	021409		
0371	IE 84189 HORACIO ZEBALLOS GAMEZ	021410		
0372	IE HORACIO ZEBALLOS GAMEZ	021410		
6480	IE 86026 SANTA INES SECUNDARIA	021501		
19653	IE 88381 IGNACIO AMADEO RAMOS OLIVERA	021501		
51234	IEP SANTO DOMINGO DE GUZMAN	021501		
0379	IE 86643 SANTO TORIBIO DE CASCAPARA	021502		
0383	IE SAN ROQUE	021503		
53512	IE 86628 CAPITAN FAP JOSE ABELARDO QUIÑONEZ GONZALES	021503		
0385	IE 86644 SAN MARTIN DE PORRES	021504		
0387	IE 86645 RICARDO PALMA	021505		
52002	IE 527	021505		
0389	IE 86640 SEÑOR DE LOS MILAGROS PRIMARIA	021506		
51640	IE 1573	021505		
53180	IE 86640 SEÑOR DE LOS MILAGROS SECUNDARIA	021506		
0390	IE 86646 ISABEL ROMERO SOTELO	021507		
0392	IE 86636 SAN JUAN BOSCO	021508		
53747	IESTP ANTONIO RAIMONDI	021508		
18933	IE ANTONIO RAIMONDI	021601		
40060	IE INTEGRADO TUPAC AMARU II	021602		
8076	IE VICTOR RAUL HAYA DE LA TORRE	021603		
18930	IE 86178 MICAELA BASTIDAS PUYUCAWA	021604		
7565	IE 86186 JOSE ANTONIO ENCINAS	021605		
8081	IE SANTA ISABEL	021605		
0400	IE INTEGRADO CRISTO JESUS	021606		
0404	IE CARLOS FERMIN FITZCARRALD	021701		
0406	IE 86375 DANIEL BADIALI MASIRONI	021701		
0407	IE 84129 CESAR VALLEJO	021702		
0409	IE SANTIAGO ANTUNEZ DE MAYOLO	021703		
40061	IE 84130 SAN NICOLAS DE TOLENTINO	021703		
18940	IE AMAUTA ATUSPARIA	021801		
40062	IE AMIGUITOS DE ALAMEDA	021801		
0411	IE 86344 INTEGRADO JAVIER HERAUD PEREZ	021802		
0412	IE INCA GARCILASO DE LA VEGA	021901		
0414	IE 88107 VIRGEN DE FATIMA	021901		
19235	IE 88114 SAN MARTIN DE PORRAS	021901		
40985	IEGP GERONIMUSS COLLEGE	021901		
50777	IE SANTA ROSA	021901		
0415	IE 86158 SAN SANTIAGO	021902		
0417	IE 86156 VIRGEN INMACULADA CONCEPCION	021903		
6701	IE 86141 SAN JUAN	021904		
0421	IE 88109 ALFONSO UGARTE	021905		
0422	IE 20473	022001		
0424	IE 20481	022003		
0426	IE 20488 GENARO ABARCA RAMIREZ	022004		
0423	IE 86222	022002		
0427	IE 20490 SAN SALVADOR	022005		
0428	IE 20496 VIRGEN DEL CARMEN	022006		
0429	IE 20498 VIRGEN DEL ROSARIO	022007		
0430	IE 20508 SAN CRISTOBAL DE RAJAN	022008		
0431	IE 20513 SAN PEDRO	022009		
0432	IEI 1211 CHILCAS	022010		
0433	IE 55002 AURORA INES TEJADA	030101		
0434	IE 55001 MANUEL JESUS SIERRA AGUILAR	030101		
0438	IE LA SALLE ABANCAY	030101		
8460	IE 54006 SAGRADO CORAZÓN DE JESUS	030101		
8461	IEI 54007 ESTHER ROBERTI GAMERO	030101		
8462	IE 54008 DIVINO MAESTRO	030101		
8466	IE 54489 NUESTRA SEÑORA DE LAS MERCEDES	030101		
8472	IE 54010 PUEBLO LIBRE	030101		
18435	IE 55003 LA VICTORIA	030101		
19670	IE 54003 NUESTRA SEÑORA DEL ROSARIO	030101		
19678	IE INDUSTRIAL	030101		
31505	IE FRAY ARMANDO BONIFAZ	030101		
40063	IES NUESTRA SEÑORA DE LAS MERCEDES	030101		
0440	IE 54016 CIRCA	030102		
53271	IE LUIS FERNANDO BUENO QUINO	030102		
0444	IE ANTONIO OCAMPO	030103		
0445	IE INMACULADA	030103		
0446	IE 55004 VIRGEN DE FATIMA	030103		
40994	IE 54682 JOSE MARIA ARGUEDAS	030103		
0447	IE 54027 DANIEL DEL PINO MUÑOZ	030104		
53346	IE DANIEL DEL PINO MUÑOZ	030104		
0449	IE 54030 VIRGEN DEL CARMEN	030105		
8504	IE JOSE MARIA ARGUEDAS	030105		
0450	IE GUILLERMO VILADEGUT FERRUFINO	030106		
0452	IE 54028 VIRGEN DE FATIMA	030106		
0453	IE 54031 VIRGEN NATIVIDAD	030107		
51533	IE ANTONIO JOSE DE SUCRE	030107		
0455	IE 54013 VIRGEN DEL CARMEN	030108		
50858	IE 54012 VIRGEN DE FATIMA	030108		
0456	IE 54036 SEÑOR DE LA EXALTACION	030109		
19709	IE SAN FRANCISCO SOLANO	030109		
40066	IE MICAELA BASTIDAS PUYUCAHUA	030109		
5438	IE LIBERTADORES DE AMERICA	030201		
31525	IE 54299 JOSE PARDO	030201		
0459	IE 54304 VIRGEN DEL CARMEN	030202		
0460	IE 54306 NUESTRA SEÑORA DE FATIMA	030203		
0461	IE 54308 SAN PEDRO DE COLCABAMBA	030204		
0463	IE JOSE MARIA ARGUEDAS	030205		
8580	IE 54309 JOSE MARIA ARGUEDAS	030205		
0464	IE SANTA CATALINA CHAPIMARCA	030206		
8576	IE 54312 FRAY MARTIN DE PORRES	030206		
0465	IE 54316 INMACULADA CONCEPCION	030207		
40067	IE 54318 VIRGEN DE LAS NIEVES	030208		
51104	IE JAVIER HERAUD PEREZ	030208		
0467	IE 54319 PATRON SAN FELIPE	030209		
0468	IE 54321 LOS ANGELES DE SAN FRANCISCO	030210		
0469	IE 54323 SAN ANTONIO DE PADUA	030211		
51105	IE 54325 VIRGEN DE NATIVIDAD	030212		
0471	IE 54326 HORACIO ZEVALLOS GAMEZ	030213		
8589	IE BENJAMIN HERENCIA ZEVALLOS	030213		
0474	IE 54330 RICARDO PALMA	030214		
0475	IE TUPAC AMARU II	030215		
0476	IE 54311 VIRGEN DEL CARMEN	030216		
0477	IE 54380 SAN MIGUEL DE PICHIHUA	030217		
0481	IE BELEN DE OSMA Y PARDO	030301		
19712	IE 54077 FEDERICO VILLARREAL	030301		
19728	IE MANUEL VIVANCO ALTAMIRANO	030301		
19731	IE 55006 SAGRADA FAMILIA	030301		
40068	IE 55005 DIVINO MAESTRO	030301		
50859	IE 54490 HOGAR DE CRISTO	030301		
0483	IE SAN FRANCISCO DE ASIS	030302		
0484	IE 54082	030302		
40070	IE ENRIQUE MARTINELLY TIZON	030303		
0486	IE MARIA PARADO DE BELLIDO	030304		
19765	IE 54084 SAGRADO CORAZON DE JESUS	030304		
0488	IE DOS DE MAYO	030305		
19781	IE 54088	030305		
0490	IE 54101	030306		
40071	IE JOSE MARIA ARGUEDAS	030306		
0493	IE 54092 SAN JUAN BAUTISTA LA SALLE	030307		
40073	IE RICARDO PALMA	030307		
0494	IE 54099 VIRGEN DEL CARMEN	030308		
0496	IE 54207	030309		
19849	IE JUAN PABLO VIZCARDO Y GUZMAN	030309		
0497	IE 54104 CRISTO REY	030310		
19868	IE AGROPECUARIO 08	030310		
40074	IE 54105 JUAN PABLO II	030310		
40075	IE VIRGEN DEL CARMEN	030310		
55395	IE 54177 EL BUEN PASTOR	030311		
8552	IE 54178 SAGRADO CORAZON DE JESUS	030311		
40076	IE PROCERES DE LA INDEPENDENCIA AMERICANA	030311		
40077	IE RICARDO PALMA SORIANO	030311		
