codigo_mesa	id_eleccion	id_ubigeo	nombre_local_votacion	codigo_local_votacion	id_ambito_geografico	electores_habiles	votos_emitidos	votos_validos	total_asistentes	participacion_ciudadana	codigo_estado_acta	descripcion_estado_acta
023100	10	100207	IE 22266	11212	1	292	0	0	0	0.0	P	Pendiente
023101	10	100207	IE 22266	11212	1	300	0	0	0	0.0	P	Pendiente
023103	10	100207	IE 22266	11212	1	300	0	0	0	0.0	P	Pendiente
023102	10	100207	IE 22266	11212	1	300	0	0	0	0.0	P	Pendiente
023104	10	100207	IE 22264	24748	1	291	0	0	0	0.0	P	Pendiente
023105	10	100207	IE 22264	24748	1	300	0	0	0	0.0	P	Pendiente
023106	10	100207	IE 22264	24748	1	300	0	0	0	0.0	P	Pendiente
023108	10	100207	IE 22264	24748	1	300	0	0	0	0.0	P	Pendiente
023109	10	100208	IE MIGUEL GRAU SEMINARIO	1939	1	217	0	0	0	0.0	P	Pendiente
023110	10	100208	IE MIGUEL GRAU SEMINARIO	1939	1	283	0	0	0	0.0	P	Pendiente
023107	10	100207	IE 22264	24748	1	300	0	0	0	0.0	P	Pendiente
023111	10	100208	IE MIGUEL GRAU SEMINARIO	1939	1	283	0	0	0	0.0	P	Pendiente
023112	10	100208	IE MIGUEL GRAU SEMINARIO	1939	1	283	0	0	0	0.0	P	Pendiente
023113	10	100208	IE MIGUEL GRAU SEMINARIO	1939	1	282	0	0	0	0.0	P	Pendiente
023114	10	100208	IE MIGUEL GRAU SEMINARIO	1939	1	282	0	0	0	0.0	P	Pendiente
023116	10	100208	IE MIGUEL GRAU SEMINARIO	1939	1	282	0	0	0	0.0	P	Pendiente
023117	10	100208	IEI 254	40962	1	293	0	0	0	0.0	P	Pendiente
023118	10	100208	IEI 254	40962	1	300	0	0	0	0.0	P	Pendiente
023115	10	100208	IE MIGUEL GRAU SEMINARIO	1939	1	282	0	0	0	0.0	P	Pendiente
023119	10	100208	IEI 254	40962	1	300	0	0	0	0.0	P	Pendiente
023120	10	100208	IEI 254	40962	1	300	0	0	0	0.0	P	Pendiente
023121	10	100208	IEI 254	40962	1	300	0	0	0	0.0	P	Pendiente
023122	10	100208	IE 22779	51993	1	284	224	212	224	78.873	C	Contabilizada
023123	10	100208	IE 22779	51993	1	300	250	244	250	83.333	C	Contabilizada
023124	10	100209	IE CIRO ALEGRIA	1940	1	230	0	0	0	0.0	P	Pendiente
023125	10	100209	IE CIRO ALEGRIA	1940	1	300	0	0	0	0.0	P	Pendiente
023126	10	100209	IE CIRO ALEGRIA	1940	1	300	0	0	0	0.0	P	Pendiente
023127	10	100209	IE CIRO ALEGRIA	1940	1	300	0	0	0	0.0	P	Pendiente
023128	10	100209	IE CIRO ALEGRIA	1940	1	300	0	0	0	0.0	P	Pendiente
023129	10	100209	IE CIRO ALEGRIA	1940	1	300	0	0	0	0.0	P	Pendiente
023130	10	100209	IE CIRO ALEGRIA	1940	1	300	0	0	0	0.0	P	Pendiente
023131	10	100209	IE CIRO ALEGRIA	1940	1	300	0	0	0	0.0	P	Pendiente
023133	10	100209	IE CIRO ALEGRIA	1940	1	300	0	0	0	0.0	P	Pendiente
023132	10	100209	IE CIRO ALEGRIA	1940	1	300	0	0	0	0.0	P	Pendiente
023135	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	275	0	0	0	0.0	P	Pendiente
023136	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	291	0	0	0	0.0	P	Pendiente
023134	10	100209	IE CIRO ALEGRIA	1940	1	300	0	0	0	0.0	P	Pendiente
023137	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	291	0	0	0	0.0	P	Pendiente
023138	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	291	0	0	0	0.0	P	Pendiente
023139	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	291	0	0	0	0.0	P	Pendiente
023140	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	291	0	0	0	0.0	P	Pendiente
023141	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	291	0	0	0	0.0	P	Pendiente
023142	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	290	0	0	0	0.0	P	Pendiente
023143	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	290	0	0	0	0.0	P	Pendiente
023144	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	290	254	235	254	87.586	C	Contabilizada
023145	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	290	241	218	241	83.103	C	Contabilizada
023147	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	230	0	0	0	0.0	P	Pendiente
023146	10	100209	IE 22226 NUESTRA SEÑORA DE FATIMA	11154	1	290	0	0	0	0.0	P	Pendiente
023148	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023149	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023150	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023151	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023152	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023153	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023154	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023155	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023156	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023157	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023158	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023159	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023160	10	100210	IE 22256 SAN ANTONIO DE PADUA	1941	1	300	0	0	0	0.0	P	Pendiente
023161	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	247	0	0	0	0.0	P	Pendiente
023162	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023163	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023164	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023165	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023166	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023167	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023168	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
