id_eleccion	ubigeo	partido_id	nombre_candidato	nombre_agrupacion_politica	votos_validos	pct_votos_validos	pct_votos_emitidos	total_votos_validos_geo	total_votos_emitidos_geo	fuente
10	120000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	445411	42.717	39.455	1042697	1128911	local_agregado
10	120000	8	FUERZA POPULAR	FUERZA POPULAR	604439	57.969	53.542	1042697	1128911	local_agregado
10	120000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	7428	0.712	0.658	1042697	1128911	local_agregado
10	120000	81	VOTOS NULOS	VOTOS NULOS	79588	7.633	7.05	1042697	1128911	local_agregado
10	120000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	372	0.036	0.033	1042697	1128911	local_agregado
10	130000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	305860	41.309	38.185	740416	800999	local_agregado
10	130000	8	FUERZA POPULAR	FUERZA POPULAR	437382	59.072	54.605	740416	800999	local_agregado
10	130000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	5277	0.713	0.659	740416	800999	local_agregado
10	130000	81	VOTOS NULOS	VOTOS NULOS	55591	7.508	6.94	740416	800999	local_agregado
10	130000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	15	0.002	0.002	740416	800999	local_agregado
10	140000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	2339202	37.655	35.348	6212128	6617685	local_agregado
10	140000	8	FUERZA POPULAR	FUERZA POPULAR	4070587	65.526	61.511	6212128	6617685	local_agregado
10	140000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	41518	0.668	0.627	6212128	6617685	local_agregado
10	140000	81	VOTOS NULOS	VOTOS NULOS	384952	6.197	5.817	6212128	6617685	local_agregado
10	140000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	2265	0.036	0.034	6212128	6617685	local_agregado
10	150000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	184447	47.459	44.23	388644	417016	local_agregado
10	150000	8	FUERZA POPULAR	FUERZA POPULAR	209306	53.855	50.191	388644	417016	local_agregado
10	150000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	3374	0.868	0.809	388644	417016	local_agregado
10	150000	81	VOTOS NULOS	VOTOS NULOS	25476	6.555	6.109	388644	417016	local_agregado
10	150000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	92	0.024	0.022	388644	417016	local_agregado
10	160000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	61518	69.261	65.749	88820	93565	local_agregado
10	160000	8	FUERZA POPULAR	FUERZA POPULAR	28213	31.764	30.153	88820	93565	local_agregado
10	160000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	690	0.777	0.737	88820	93565	local_agregado
10	160000	81	VOTOS NULOS	VOTOS NULOS	4226	4.758	4.517	88820	93565	local_agregado
10	160000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	1	0.001	0.001	88820	93565	local_agregado
10	170000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	86909	72.555	68.426	119783	127011	local_agregado
10	170000	8	FUERZA POPULAR	FUERZA POPULAR	33339	27.833	26.249	119783	127011	local_agregado
10	170000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	667	0.557	0.525	119783	127011	local_agregado
10	170000	81	VOTOS NULOS	VOTOS NULOS	6633	5.538	5.222	119783	127011	local_agregado
10	170000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	119783	127011	local_agregado
10	180000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	76417	61.579	57.48	124095	132945	local_agregado
10	180000	8	FUERZA POPULAR	FUERZA POPULAR	49836	40.16	37.486	124095	132945	local_agregado
10	180000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	937	0.755	0.705	124095	132945	local_agregado
10	180000	81	VOTOS NULOS	VOTOS NULOS	8060	6.495	6.063	124095	132945	local_agregado
10	180000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	4	0.003	0.003	124095	132945	local_agregado
10	190000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	407085	42.582	39.216	955996	1038051	local_agregado
10	190000	8	FUERZA POPULAR	FUERZA POPULAR	561906	58.777	54.131	955996	1038051	local_agregado
10	190000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	8565	0.896	0.825	955996	1038051	local_agregado
10	190000	81	VOTOS NULOS	VOTOS NULOS	74860	7.831	7.212	955996	1038051	local_agregado
10	190000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	182	0.019	0.018	955996	1038051	local_agregado
10	200000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	567623	86.574	82.388	655649	688966	local_agregado
10	200000	8	FUERZA POPULAR	FUERZA POPULAR	92690	14.137	13.453	655649	688966	local_agregado
10	200000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	2535	0.387	0.368	655649	688966	local_agregado
10	200000	81	VOTOS NULOS	VOTOS NULOS	31069	4.739	4.51	655649	688966	local_agregado
10	200000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	15	0.002	0.002	655649	688966	local_agregado
10	210000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	237365	54.141	50.093	438420	473846	local_agregado
10	210000	8	FUERZA POPULAR	FUERZA POPULAR	203459	46.407	42.938	438420	473846	local_agregado
10	210000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	4046	0.923	0.854	438420	473846	local_agregado
10	210000	81	VOTOS NULOS	VOTOS NULOS	31630	7.215	6.675	438420	473846	local_agregado
10	210000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	4	0.001	0.001	438420	473846	local_agregado
10	220000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	162373	72.082	68.121	225263	238359	local_agregado
10	220000	8	FUERZA POPULAR	FUERZA POPULAR	65838	29.227	27.621	225263	238359	local_agregado
10	220000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	1177	0.523	0.494	225263	238359	local_agregado
10	220000	81	VOTOS NULOS	VOTOS NULOS	12160	5.398	5.102	225263	238359	local_agregado
10	220000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	12	0.005	0.005	225263	238359	local_agregado
10	230000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	45236	35.854	33.062	126168	136821	local_agregado
10	230000	8	FUERZA POPULAR	FUERZA POPULAR	81355	64.481	59.461	126168	136821	local_agregado
10	230000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	988	0.783	0.722	126168	136821	local_agregado
10	230000	81	VOTOS NULOS	VOTOS NULOS	9682	7.674	7.076	126168	136821	local_agregado
10	230000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	12	0.01	0.009	126168	136821	local_agregado
10	240000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	211787	35.229	32.815	601172	645392	local_agregado
10	240000	8	FUERZA POPULAR	FUERZA POPULAR	403404	67.103	62.505	601172	645392	local_agregado
10	240000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	4044	0.673	0.627	601172	645392	local_agregado
10	240000	81	VOTOS NULOS	VOTOS NULOS	42052	6.995	6.516	601172	645392	local_agregado
10	240000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	284	0.047	0.044	601172	645392	local_agregado
10	250000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	123628	48.032	44.994	257388	274764	local_agregado
10	250000	8	FUERZA POPULAR	FUERZA POPULAR	139921	54.362	50.924	257388	274764	local_agregado
10	250000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	2466	0.958	0.897	257388	274764	local_agregado
10	250000	81	VOTOS NULOS	VOTOS NULOS	15641	6.077	5.693	257388	274764	local_agregado
10	250000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	19	0.007	0.007	257388	274764	local_agregado
10	910000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	20	40.0	38.462	50	52	local_agregado
10	910000	8	FUERZA POPULAR	FUERZA POPULAR	30	60.0	57.692	50	52	local_agregado
10	910000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	50	52	local_agregado
10	910000	81	VOTOS NULOS	VOTOS NULOS	2	4.0	3.846	50	52	local_agregado
10	910000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	50	52	local_agregado
10	920000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	49267	34.57	32.459	142515	151781	local_agregado
10	920000	8	FUERZA POPULAR	FUERZA POPULAR	101960	71.543	67.176	142515	151781	local_agregado
10	920000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	1996	1.401	1.315	142515	151781	local_agregado
10	920000	81	VOTOS NULOS	VOTOS NULOS	8999	6.314	5.929	142515	151781	local_agregado
10	920000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	749	0.526	0.493	142515	151781	local_agregado
10	930000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	989	11.05	10.714	8950	9231	local_agregado
10	930000	8	FUERZA POPULAR	FUERZA POPULAR	8135	90.894	88.127	8950	9231	local_agregado
10	930000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	31	0.346	0.336	8950	9231	local_agregado
10	930000	81	VOTOS NULOS	VOTOS NULOS	253	2.827	2.741	8950	9231	local_agregado
10	930000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	2	0.022	0.022	8950	9231	local_agregado
10	940000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	50747	47.48	44.807	106880	113256	local_agregado
10	940000	8	FUERZA POPULAR	FUERZA POPULAR	64102	59.976	56.599	106880	113256	local_agregado
10	940000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	1113	1.041	0.983	106880	113256	local_agregado
10	940000	81	VOTOS NULOS	VOTOS NULOS	6212	5.812	5.485	106880	113256	local_agregado
10	940000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	401	0.375	0.354	106880	113256	local_agregado
10	950000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	783	38.42	35.967	2038	2177	local_agregado
10	950000	8	FUERZA POPULAR	FUERZA POPULAR	1386	68.008	63.666	2038	2177	local_agregado
10	950000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	10	0.491	0.459	2038	2177	local_agregado
10	950000	81	VOTOS NULOS	VOTOS NULOS	132	6.477	6.063	2038	2177	local_agregado
10	950000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	1	0.049	0.046	2038	2177	local_agregado
