id_eleccion	ubigeo	partido_id	nombre_candidato	nombre_agrupacion_politica	votos_validos	pct_votos_validos	pct_votos_emitidos	total_votos_validos_geo	total_votos_emitidos_geo	fuente
10	933800	81	VOTOS NULOS	VOTOS NULOS	0	0.0	0.0	16	16	local_agregado
10	933800	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	16	16	local_agregado
10	940200	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	1642	55.436	53.52	2962	3068	local_agregado
10	940200	8	FUERZA POPULAR	FUERZA POPULAR	1828	61.715	59.583	2962	3068	local_agregado
10	940200	80	VOTOS EN BLANCO	VOTOS EN BLANCO	16	0.54	0.522	2962	3068	local_agregado
10	940200	81	VOTOS NULOS	VOTOS NULOS	112	3.781	3.651	2962	3068	local_agregado
10	940200	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	8	0.27	0.261	2962	3068	local_agregado
10	940300	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	132	62.264	58.929	212	224	local_agregado
10	940300	8	FUERZA POPULAR	FUERZA POPULAR	162	76.415	72.321	212	224	local_agregado
10	940300	80	VOTOS EN BLANCO	VOTOS EN BLANCO	3	1.415	1.339	212	224	local_agregado
10	940300	81	VOTOS NULOS	VOTOS NULOS	13	6.132	5.804	212	224	local_agregado
10	940300	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	1	0.472	0.446	212	224	local_agregado
10	940400	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	696	54.248	50.618	1283	1375	local_agregado
10	940400	8	FUERZA POPULAR	FUERZA POPULAR	764	59.548	55.564	1283	1375	local_agregado
10	940400	80	VOTOS EN BLANCO	VOTOS EN BLANCO	4	0.312	0.291	1283	1375	local_agregado
10	940400	81	VOTOS NULOS	VOTOS NULOS	93	7.249	6.764	1283	1375	local_agregado
10	940400	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	2	0.156	0.145	1283	1375	local_agregado
10	940600	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	34	45.333	44.737	75	76	local_agregado
10	940600	8	FUERZA POPULAR	FUERZA POPULAR	41	54.667	53.947	75	76	local_agregado
10	940600	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	75	76	local_agregado
10	940600	81	VOTOS NULOS	VOTOS NULOS	1	1.333	1.316	75	76	local_agregado
10	940600	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	75	76	local_agregado
10	940800	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	74	46.835	45.122	158	164	local_agregado
